id,obj_filename,sket_filename,tex
1,01.obj,01.png,A bear is roaring and lunging forward
2,02.obj,02.png,A polar bear is idle
3,03.obj,03.png,A male sheep with curly horns is idle
4,04.obj,04.png,An angry cat is in defense and holding tail straight up
5,05.obj,05.png,A black cat is running
6,06.obj,06.png,A cat is idle
7,07.obj,07.png,A dog is sitting and holding a bone in mouth
8,08.obj,08.png,An Australian cattle dog is idle
9,09.obj,09.png,A Canaan dog is idle with a curly tail
10,10.obj,10.png,A farm dog is walking
11,11.obj,11.png,A goat with short beard is idle
